state,township,admin3_pcode,vul_score,conflict_score,insecure_pc,insecure_persons,IDPs,population,conflict_affected,pre_ex_vulnerable,vul_pop,vul_pop_score,caseload,caseload_pc,PIN,pc_pin,pc_pop
Kayin,Kyainseikgyi,MMR003007,0.602272405,0.143456764,29.81,486005,14744,276205.6406,39623.56743,166351.0354,166351.0354,0.602272405,181095.0354,0.16534862,95104.25584,0.144659997,0.34432409
Kayin,Myawaddy,MMR003005,0.368663937,0.5259481,29.81,486005,47766,226192.5262,118965.5293,83389.02719,118965.5293,0.5259481,166731.5293,0.152234036,121752.5029,0.185193781,0.538269345
Magway,Gangaw,MMR009023,0.353134157,0.643717754,33.7,1288629,79955,132980.7017,85602.03867,46960.028,85602.03867,0.643717754,165557.0387,0.085729006,190427.8828,0.125984779,1.431996375
Magway,Tilin,MMR009024,0.528570712,0.168921545,33.7,1288629,18083,49721.99928,8399.116939,26281.59257,26281.59257,0.528570712,44364.59257,0.022972943,47686.60052,0.031548877,0.959064422
Magway,Saw,MMR009025,0.452108766,0.277742592,33.7,1288629,31001,69541.03261,19314.50664,31440.11044,31440.11044,0.452108766,62441.11044,0.032333354,72666.69741,0.048075406,1.044947058
Magway,Magway,MMR009001,0.333580887,0.164982746,33.7,1288629,2893,289340.0722,47736.11956,96518.31782,96518.31782,0.333580887,99411.31782,0.051477325,69228.17338,0.04580052,0.239262308
Magway,Yenangyaung,MMR009002,0.371745456,0.022251174,33.7,1288629,0,135718.7332,3019.901118,50452.82238,50452.82238,0.371745456,50452.82238,0.02612556,33666.15385,0.022273119,0.248058268
Magway,Chauk,MMR009003,0.360557418,0.02190724,33.7,1288629,0,186951.0271,4095.580954,67406.57954,67406.57954,0.360557418,67406.57954,0.034904581,44979.05509,0.029757598,0.240592715
Magway,Taungdwingyi,MMR009004,0.464367526,0.128795212,33.7,1288629,0,259436.6733,33414.20124,120473.9661,120473.9661,0.464367526,120473.9661,0.062384018,80389.85507,0.053184954,0.309863112
Magway,Myothit,MMR009005,0.547909156,0.037210293,33.7,1288629,0,158802.5751,5909.090342,87009.38492,87009.38492,0.547909156,87009.38492,0.045055336,58059.61294,0.038411536,0.365608762
Magway,Natmauk,MMR009006,0.574582143,0.050114504,33.7,1288629,3008,207768.8621,10412.23354,119380.2781,119380.2781,0.574582143,122388.2781,0.06337529,84675.23697,0.05602011,0.407545366
Magway,Minbu,MMR009007,0.309383279,0.028532821,33.7,1288629,651,187750.2269,5357.043579,58086.7809,58086.7809,0.309383279,58737.7809,0.03041569,39845.54007,0.026361326,0.212226322
Magway,Pwintbyu,MMR009008,0.38592779,0.082818015,33.7,1288629,0,163356.762,13528.88276,63043.91415,63043.91415,0.38592779,63043.91415,0.032645499,42067.93621,0.027831637,0.257521854
Magway,Ngape,MMR009009,0.390319471,0.039885277,33.7,1288629,516,51621.27462,2058.928814,20148.78862,20148.78862,0.390319471,20664.78862,0.010700673,14305.19791,0.009464146,0.277118262
Magway,Salin,MMR009010,0.433999085,0.042768331,33.7,1288629,0,236364.9032,10108.93249,102582.1516,102582.1516,0.433999085,102582.1516,0.053119251,68451.00702,0.045286356,0.289598862
Magway,Sidoktaya,MMR009011,0.424214007,0.016250767,33.7,1288629,473,47342.92736,769.3588915,20083.53292,20083.53292,0.424214007,20556.53292,0.010644616,14189.96106,0.009387906,0.299727158
Magway,Pakokku,MMR009018,0.26941996,0.362097106,33.7,1288629,24114,291599.0534,105587.1734,78562.60533,105587.1734,0.362097106,129701.1734,0.067162065,110660.9849,0.073211966,0.379497065
Magway,Yesagyo,MMR009019,0.414515862,0.473617329,33.7,1288629,16757,216678.4559,102622.6714,89816.65688,102622.6714,0.473617329,119379.6714,0.061817369,96416.65422,0.06378809,0.444975731
Magway,Myaing,MMR009020,0.436872496,0.381008834,33.7,1288629,15521,226800.541,86413.00966,99082.91844,99082.91844,0.436872496,114603.9184,0.059344381,91993.89028,0.060862043,0.405615833
Magway,Pauk,MMR009021,0.451523324,0.376926826,33.7,1288629,17743,170553.0521,64286.02056,77008.68098,77008.68098,0.451523324,94751.68098,0.049064464,80968.89142,0.053568037,0.47474314
Magway,Seikphyu,MMR009022,0.39992523,0.065542897,33.7,1288629,11412,102300.0198,6705.039671,40912.3589,40912.3589,0.39992523,52324.3589,0.027094682,46326.99254,0.030649377,0.452854189
Magway,Thayet,MMR009012,0.421414632,0.01656448,33.7,1288629,0,104667.4419,1733.761722,44108.39148,44108.39148,0.421414632,44108.39148,0.022840277,29432.64269,0.01947228,0.28120151
Magway,Minhla,MMR009013,0.447623938,0.009206274,33.7,1288629,0,144398.9653,1329.376401,64636.43355,64636.43355,0.447623938,64636.43355,0.033470139,43130.59238,0.028534677,0.298690453
Magway,Mindon,MMR009014,0.525137806,0.024029518,33.7,1288629,0,60559.7256,1455.221033,31802.20145,31802.20145,0.525137806,31802.20145,0.016467866,21220.96954,0.014039536,0.350413898
Magway,Kamma,MMR009015,0.442612824,0.031206721,33.7,1288629,759,75925.95121,2369.400011,33605.79965,33605.79965,0.442612824,34364.79965,0.017794835,23689.93979,0.015672977,0.312013737
Magway,Aunglan,MMR009016,0.433214484,0.025933659,33.7,1288629,0,234670.6744,6085.869256,101662.7352,101662.7352,0.433214484,101662.7352,0.052643157,67837.49891,0.044880467,0.289075314
Magway,Sinbaungwe,MMR009017,0.501154677,0.005626553,33.7,1288629,0,117212.3488,659.5014395,58741.51684,58741.51684,0.501154677,58741.51684,0.030417624,39197.03299,0.025932282,0.334410439
Mandalay,Kyaukse,MMR010013,0.311173317,0.09633564,19,1270016,0,278800.8742,26858.46066,86755.3929,86755.3929,0.311173317,86755.3929,0.039433605,50081.30926,0.039048505,0.179631106
Mandalay,Sintgaing,MMR010014,0.26492446,0.073801082,19,1270016,1620,161989.9581,11955.03425,42915.10217,42915.10217,0.26492446,44535.10217,0.020242887,27328.79055,0.021308317,0.168706696
Mandalay,Myittha,MMR010015,0.411712725,0.022272368,19,1270016,0,212126.596,4724.56159,87335.21895,87335.21895,0.411712725,87335.21895,0.039697158,50416.0256,0.039309485,0.237669517
Mandalay,Tada-U,MMR010016,0.412450798,0.034997874,19,1270016,0,151483.8607,5301.613141,62479.63921,62479.63921,0.412450798,62479.63921,0.028399357,36067.63832,0.028122016,0.238095584
Mandalay,Aungmyaythazan,MMR010001,0.062036607,0.16087959,19,1270016,2876,287592.1048,46267.69984,17841.23842,46267.69984,0.16087959,49143.69984,0.022337669,31245.19697,0.024361948,0.10864414
Mandalay,Chanayethazan,MMR010002,0.018000801,0.520192178,19,1270016,0,213578.5364,111101.8841,3844.584663,111101.8841,0.520192178,111101.8841,0.050500005,64135.81485,0.050006834,0.30029148
Mandalay,Mahaaungmyay,MMR010003,0.061334218,0.279306854,19,1270016,52,259905.3188,72593.33695,15941.08945,72593.33695,0.279306854,72645.33695,0.033020051,41987.99342,0.03273813,0.161551113
Mandalay,Chanmyathazi,MMR010004,0.101645873,0.223231558,19,1270016,3056,305589.3494,68217.18649,31061.89624,68217.18649,0.223231558,71273.18649,0.032396357,44199.89175,0.034462751,0.144638194
Mandalay,Pyigyitagon,MMR010005,0.130235714,0.142272706,19,1270016,51,254379.7842,36191.30015,33129.33287,36191.30015,0.142272706,36242.30015,0.016473495,20972.60247,0.016352384,0.082446027
Mandalay,Amarapura,MMR010006,0.162459456,0.085767307,19,1270016,51,257123.2448,22052.76831,41772.10253,41772.10253,0.162459456,41823.10253,0.019010181,24194.23378,0.018864297,0.094095864
Mandalay,Patheingyi,MMR010007,0.214304541,0.059905319,19,1270016,0,283288.2628,16970.47388,60709.96111,60709.96111,0.214304541,60709.96111,0.027594972,35046.05576,0.027325486,0.123711641
Mandalay,Meiktila,MMR010028,0.252107731,0.100978536,19,1270016,0,337339.1977,34064.01823,85045.81967,85045.81967,0.252107731,85045.81967,0.038656539,49094.42346,0.038279028,0.145534298
Mandalay,Mahlaing,MMR010029,0.435558781,0.045619845,19,1270016,0,153551.7978,7005.009251,66880.8338,66880.8338,0.435558781,66880.8338,0.030399867,38608.31712,0.030102989,0.251435136
Mandalay,Thazi,MMR010030,0.368462097,0.028340842,19,1270016,0,219766.875,6228.378199,80975.76356,80975.76356,0.368462097,80975.76356,0.036806545,46744.90106,0.036447101,0.212702215
